Company Location,Review Date,Country of Bean Origin,Cocoa Percent,Rating,Bean Origin ID,Company Location ID,Number of ingredients,Number of ingredients norm,Has vanilla,Year Norm,Cocoa Percent norm
Italy,2017,Philippines,66%,3.5,19,10,4.0,1.8401982185302763,0,-0.9507224688579727,-1.5219371705928717
Italy,2017,Ecuador,73%,3.25,7,10,4.0,1.8401982185302763,0,-0.9507224688579727,0.4188451487003659
Italy,2017,Dominican Republic,65%,3.75,6,10,4.0,1.8401982185302763,0,-0.9507224688579727,-1.7991917876347627
Canada,2017,Peru,72%,2.75,18,5,2.0,-1.148561454131727,0,-0.9507224688579727,0.1415905316584748
Canada,2017,Haiti,70%,3.5,11,5,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
Canada,2017,Dominican Republic,75%,2.75,6,5,2.0,-1.148561454131727,0,-0.9507224688579727,0.973354382784148
France,2017,Colombia,69%,3.25,4,8,4.0,1.8401982185302763,1,-0.9507224688579727,-0.6901733194671985
U.S.A.,2017,Vietnam,73%,3.0,26,20,2.0,-1.148561454131727,0,-0.9507224688579727,0.4188451487003659
U.S.A.,2017,Vietnam,73%,3.5,26,20,3.0,0.34581838219927463,0,-0.9507224688579727,0.4188451487003659
U.S.A.,2017,Peru,70%,3.25,18,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Solomon Islands,73%,3.5,20,20,2.0,-1.148561454131727,0,-0.9507224688579727,0.4188451487003659
U.S.A.,2017,Peru,70%,3.5,18,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
Brazil,2017,Brazil,81%,3.25,3,4,2.0,-1.148561454131727,0,-0.9507224688579727,2.6368820850354946
U.S.A.,2017,Madagascar,70%,3.5,15,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Peru,70%,4.0,18,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Honduras,70%,3.5,12,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Belize,70%,3.25,1,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Bolivia,74%,3.75,2,20,3.0,0.34581838219927463,0,-0.9507224688579727,0.696099765742257
U.S.A.,2017,India,70%,3.5,13,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Haiti,70%,4.0,11,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
Netherlands,2017,Vietnam,70%,3.0,26,13,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
Netherlands,2017,Mexico,70%,3.25,16,13,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
Netherlands,2017,Belize,70%,3.0,1,13,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Vietnam,65%,3.5,26,20,4.0,1.8401982185302763,0,-0.9507224688579727,-1.7991917876347627
U.S.A.,2017,Venezuela,72%,3.5,25,20,3.0,0.34581838219927463,0,-0.9507224688579727,0.1415905316584748
U.S.A.,2017,Peru,75%,3.0,18,20,4.0,1.8401982185302763,0,-0.9507224688579727,0.973354382784148
U.S.A.,2017,Madagascar,68%,3.5,15,20,5.0,3.3345780548612782,1,-0.9507224688579727,-0.9674279365090895
U.S.A.,2017,Ecuador,78%,3.75,7,20,4.0,1.8401982185302763,0,-0.9507224688579727,1.8051182339098213
U.S.A.,2017,Ecuador,70%,3.5,7,20,4.0,1.8401982185302763,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Vietnam,72%,3.25,26,20,3.0,0.34581838219927463,0,-0.9507224688579727,0.1415905316584748
U.S.A.,2017,Bolivia,70%,4.0,2,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Peru,70%,3.25,18,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
Germany,2017,Venezuela,75%,3.5,25,9,3.0,0.34581838219927463,0,-0.9507224688579727,0.973354382784148
Denmark,2017,Nicaragua,70%,3.75,17,7,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Tanzania,70%,3.75,21,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Brazil,70%,3.5,3,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Guatemala,70%,3.75,10,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Guatemala,70%,3.5,10,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Guatemala,70%,3.5,10,20,3.0,0.34581838219927463,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2017,Peru,70%,3.5,18,20,2.0,-1.148561454131727,0,-0.9507224688579727,-0.41291870242530737
U.S.A.,2016,Honduras,75%,3.25,12,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
Germany,2016,Venezuela,68%,3.0,25,9,2.0,-1.148561454131727,0,-1.3283442394342608,-0.9674279365090895
Canada,2016,Colombia,70%,3.25,4,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Colombia,70%,3.25,4,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Peru,60%,3.0,18,20,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
U.S.A.,2016,Peru,60%,2.5,18,20,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
U.S.A.,2016,Vietnam,78%,3.5,26,20,2.0,-1.148561454131727,0,-1.3283442394342608,1.8051182339098213
U.S.A.,2016,Nicaragua,60%,2.75,17,20,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
U.S.A.,2016,Ecuador,60%,2.75,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
Canada,2016,Tanzania,72%,2.5,21,5,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Bolivia,60%,2.5,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
U.S.A.,2016,Bolivia,75%,3.25,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Vietnam,72%,3.0,26,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Venezuela,72%,2.75,25,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Dominican Republic,70%,3.75,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,73%,3.75,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.4188451487003659
U.S.A.,2016,Ecuador,85%,3.25,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,3.7459005532030587
U.S.A.,2016,Vietnam,78%,2.75,26,20,2.0,-1.148561454131727,0,-1.3283442394342608,1.8051182339098213
Canada,2016,Mexico,75%,3.25,16,5,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Venezuela,80%,3.0,25,20,2.0,-1.148561454131727,0,-1.3283442394342608,2.3596274679936036
U.S.A.,2016,Uganda,70%,2.75,24,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Nicaragua,80%,2.75,17,20,2.0,-1.148561454131727,0,-1.3283442394342608,2.3596274679936036
U.S.A.,2016,Ecuador,70%,3.25,7,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,75%,3.0,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Dominican Republic,60%,3.0,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,-3.1854648728442183
U.S.A.,2016,Bolivia,70%,2.5,2,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Peru,90%,2.5,18,20,2.0,-1.148561454131727,0,-1.3283442394342608,5.132173638412514
U.S.A.,2016,Belize,70%,3.25,1,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Belize,72%,4.0,1,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.1415905316584748
Colombia,2016,Colombia,65%,3.5,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
Colombia,2016,Colombia,65%,3.5,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
Colombia,2016,Colombia,65%,3.25,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
Colombia,2016,Colombia,65%,3.25,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
Colombia,2016,Colombia,65%,3.0,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
U.S.A.,2016,Venezuela,70%,3.0,25,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Venezuela,75%,2.5,25,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Tanzania,73%,2.75,21,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.4188451487003659
U.S.A.,2016,Brazil,70%,3.25,3,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Bolivia,75%,3.0,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Honduras,70%,3.5,12,20,4.0,1.8401982185302763,0,-1.3283442394342608,-0.41291870242530737
Colombia,2016,Colombia,74%,3.75,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,0.696099765742257
Colombia,2016,Colombia,71%,3.75,4,6,3.0,0.34581838219927463,0,-1.3283442394342608,-0.1356640853834163
France,2016,Haiti,65%,3.5,11,8,5.0,3.3345780548612782,1,-1.3283442394342608,-1.7991917876347627
U.S.A.,2016,Venezuela,70%,3.5,25,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Nicaragua,70%,3.75,17,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
France,2016,Mexico,75%,3.5,16,8,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Tanzania,75%,3.5,21,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Madagascar,82%,3.5,15,20,2.0,-1.148561454131727,0,-1.3283442394342608,2.9141367020773856
U.S.A.,2016,Guatemala,75%,2.75,10,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Dominican Republic,75%,3.0,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
Australia,2016,Solomon Islands,78%,3.75,20,1,4.0,1.8401982185302763,0,-1.3283442394342608,1.8051182339098213
Austria,2016,Trinidad,78%,3.5,22,2,2.0,-1.148561454131727,0,-1.3283442394342608,1.8051182339098213
Austria,2016,Trinidad,85%,2.75,22,2,3.0,0.34581838219927463,0,-1.3283442394342608,3.7459005532030587
Austria,2016,Tanzania,70%,3.5,21,2,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Austria,2016,Tanzania,85%,3.0,21,2,3.0,0.34581838219927463,0,-1.3283442394342608,3.7459005532030587
Austria,2016,Madagascar,70%,3.5,15,2,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Austria,2016,Ecuador,70%,2.75,7,2,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Venezuela,74%,3.0,25,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.696099765742257
U.S.A.,2016,Ghana,75%,3.75,9,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Bolivia,76%,3.5,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,1.250608999826039
U.K.,2016,Colombia,70%,4.0,4,19,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
New Zealand,2016,Peru,70%,3.5,18,14,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
New Zealand,2016,Dominican Republic,70%,3.5,6,14,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Venezuela,70%,2.5,25,20,5.0,3.3345780548612782,1,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Peru,70%,2.5,18,20,5.0,3.3345780548612782,1,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,70%,3.0,6,20,5.0,3.3345780548612782,1,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Tanzania,72%,3.25,21,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Madagascar,72%,3.0,15,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Peru,60%,3.0,18,20,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
Germany,2016,Belize,83%,3.5,1,9,3.0,0.34581838219927463,0,-1.3283442394342608,3.1913913191192766
Germany,2016,Belize,78%,3.0,1,9,3.0,0.34581838219927463,0,-1.3283442394342608,1.8051182339098213
Germany,2016,Belize,72%,3.75,1,9,3.0,0.34581838219927463,0,-1.3283442394342608,0.1415905316584748
Germany,2016,Belize,83%,2.75,1,9,3.0,0.34581838219927463,0,-1.3283442394342608,3.1913913191192766
U.S.A.,2016,Tanzania,70%,3.5,21,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,70%,3.5,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Bolivia,70%,3.25,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Venezuela,2016,Venezuela,60%,3.0,25,21,3.0,0.34581838219927463,0,-1.3283442394342608,-3.1854648728442183
Venezuela,2016,Venezuela,70%,2.75,25,21,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Denmark,2016,Peru,71%,3.0,18,7,5.0,3.3345780548612782,1,-1.3283442394342608,-0.1356640853834163
Denmark,2016,Peru,61%,2.5,18,7,5.0,3.3345780548612782,1,-1.3283442394342608,-2.9082102558023273
Australia,2016,Madagascar,70%,3.75,15,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,90%,2.75,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,5.132173638412514
Australia,2016,Ecuador,70%,3.75,7,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Australia,2016,Dominican Republic,70%,3.5,6,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,70%,2.75,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Vietnam,70%,4.0,26,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,70%,2.75,6,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Brazil,80%,2.75,3,20,3.0,0.34581838219927463,0,-1.3283442394342608,2.3596274679936036
Canada,2016,Nicaragua,70%,3.75,17,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Madagascar,70%,3.5,15,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Ecuador,70%,3.25,7,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Dominican Republic,62%,3.5,6,5,3.0,0.34581838219927463,0,-1.3283442394342608,-2.630955638760436
Canada,2016,Brazil,70%,3.5,3,5,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
New Zealand,2016,Solomon Islands,75%,3.25,20,14,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
New Zealand,2016,Solomon Islands,70%,3.25,20,14,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.K.,2016,Peru,68%,2.75,18,19,2.0,-1.148561454131727,0,-1.3283442394342608,-0.9674279365090895
U.K.,2016,Dominican Republic,85%,2.75,6,19,2.0,-1.148561454131727,0,-1.3283442394342608,3.7459005532030587
U.S.A.,2016,Ecuador,70%,3.5,7,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,65%,3.25,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
Australia,2016,Vietnam,70%,3.0,26,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Australia,2016,Venezuela,70%,3.75,25,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,65%,3.5,6,20,3.0,0.34581838219927463,0,-1.3283442394342608,-1.7991917876347627
Australia,2016,Guatemala,70%,3.25,10,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Australia,2016,Ecuador,70%,4.0,7,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Brazil,70%,3.75,3,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Australia,2016,Belize,70%,3.75,1,1,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Tanzania,73%,3.5,21,5,2.0,-1.148561454131727,0,-1.3283442394342608,0.4188451487003659
Canada,2016,Ecuador,73%,3.75,7,5,2.0,-1.148561454131727,0,-1.3283442394342608,0.4188451487003659
Canada,2016,Bolivia,73%,3.5,2,5,2.0,-1.148561454131727,0,-1.3283442394342608,0.4188451487003659
Peru,2016,Peru,70%,3.25,18,15,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Honduras,75%,3.75,12,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Ecuador,75%,3.75,7,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
France,2016,Peru,75%,3.25,18,8,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Peru,70%,3.0,18,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Mexico,2016,Mexico,74%,3.0,16,12,3.0,0.34581838219927463,0,-1.3283442394342608,0.696099765742257
Mexico,2016,Mexico,70%,2.75,16,12,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.K.,2016,Ecuador,77%,3.5,7,19,3.0,0.34581838219927463,0,-1.3283442394342608,1.5278636168679303
U.S.A.,2016,Dominican Republic,70%,3.75,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Honduras,80%,2.5,12,20,4.0,1.8401982185302763,1,-1.3283442394342608,2.3596274679936036
U.S.A.,2016,Tanzania,68%,3.75,21,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.9674279365090895
U.S.A.,2016,Tanzania,70%,3.25,21,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
Spain,2016,Fiji,76%,3.0,8,17,2.0,-1.148561454131727,0,-1.3283442394342608,1.250608999826039
Canada,2016,Guatemala,70%,2.75,10,5,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
Canada,2016,Belize,72%,3.0,1,5,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
Brazil,2016,Brazil,70%,3.5,3,4,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Vietnam,80%,3.0,26,20,2.0,-1.148561454131727,0,-1.3283442394342608,2.3596274679936036
U.S.A.,2016,Tanzania,68%,2.75,21,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.9674279365090895
U.S.A.,2016,Madagascar,68%,2.75,15,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.9674279365090895
U.S.A.,2016,Dominican Republic,71%,2.75,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.1356640853834163
Canada,2016,Dominican Republic,72%,3.5,6,5,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
Brazil,2016,Brazil,75%,3.75,3,4,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
Japan,2016,Haiti,70%,3.5,11,11,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,72%,3.0,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.1415905316584748
Austria,2016,Haiti,82%,3.0,11,2,3.0,0.34581838219927463,0,-1.3283442394342608,2.9141367020773856
Austria,2016,Colombia,74%,3.25,4,2,3.0,0.34581838219927463,0,-1.3283442394342608,0.696099765742257
Austria,2016,Bolivia,76%,2.75,2,2,3.0,0.34581838219927463,0,-1.3283442394342608,1.250608999826039
Peru,2016,Peru,70%,2.75,18,15,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Vietnam,75%,3.25,26,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Vietnam,73%,3.5,26,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.4188451487003659
U.S.A.,2016,Vietnam,73%,3.25,26,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.4188451487003659
U.S.A.,2016,Trinidad,70%,3.5,22,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Tanzania,70%,3.75,21,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Peru,70%,4.0,18,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Nicaragua,70%,3.75,17,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Nicaragua,80%,3.5,17,20,2.0,-1.148561454131727,0,-1.3283442394342608,2.3596274679936036
U.S.A.,2016,Honduras,70%,3.5,12,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Guatemala,70%,3.5,10,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
Japan,2016,Peru,70%,3.0,18,11,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Japan,2016,Peru,70%,2.5,18,11,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Japan,2016,Peru,70%,2.25,18,11,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Japan,2016,Belize,70%,3.0,1,11,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Fiji,70%,3.25,8,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Peru,70%,2.75,18,20,4.0,1.8401982185302763,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Haiti,70%,3.25,11,20,4.0,1.8401982185302763,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,70%,3.75,7,20,4.0,1.8401982185302763,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Brazil,70%,3.75,3,20,4.0,1.8401982185302763,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,70%,3.25,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Ecuador,70%,3.25,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Dominican Republic,70%,3.75,6,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Costa Rica,70%,4.0,5,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
New Zealand,2016,Venezuela,72%,2.75,25,14,3.0,0.34581838219927463,0,-1.3283442394342608,0.1415905316584748
New Zealand,2016,Peru,66%,3.5,18,14,3.0,0.34581838219927463,0,-1.3283442394342608,-1.5219371705928717
New Zealand,2016,Madagascar,70%,2.75,15,14,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
New Zealand,2016,Dominican Republic,75%,3.25,6,14,3.0,0.34581838219927463,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Bolivia,75%,3.5,2,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
U.S.A.,2016,Bolivia,72%,4.0,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Bolivia,68%,3.75,2,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.9674279365090895
U.S.A.,2016,Ecuador,77%,3.5,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,1.5278636168679303
U.S.A.,2016,Ecuador,70%,3.5,7,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,U.S.A.,72%,3.5,23,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.1415905316584748
U.S.A.,2016,Costa Rica,74%,3.5,5,20,3.0,0.34581838219927463,0,-1.3283442394342608,0.696099765742257
U.S.A.,2016,Belize,70%,3.25,1,20,3.0,0.34581838219927463,0,-1.3283442394342608,-0.41291870242530737
Germany,2016,Peru,64%,2.75,18,9,3.0,0.34581838219927463,0,-1.3283442394342608,-2.0764464046766538
U.S.A.,2016,Brazil,85%,3.25,3,20,3.0,0.34581838219927463,0,-1.3283442394342608,3.7459005532030587
Japan,2016,Madagascar,70%,3.5,15,11,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Nicaragua,77%,3.25,17,20,3.0,0.34581838219927463,0,-1.3283442394342608,1.5278636168679303
U.S.A.,2016,Mexico,77%,2.75,16,20,3.0,0.34581838219927463,0,-1.3283442394342608,1.5278636168679303
U.S.A.,2016,Guatemala,77%,3.25,10,20,3.0,0.34581838219927463,0,-1.3283442394342608,1.5278636168679303
U.S.A.,2016,Belize,70%,3.5,1,20,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
U.S.A.,2016,Costa Rica,74%,4.0,5,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.696099765742257
U.S.A.,2016,Bolivia,74%,3.75,2,20,2.0,-1.148561454131727,0,-1.3283442394342608,0.696099765742257
Denmark,2016,Nicaragua,70%,3.5,17,7,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
Singapore,2016,Tanzania,67%,3.75,21,16,2.0,-1.148561454131727,0,-1.3283442394342608,-1.2446825535509807
Singapore,2016,Madagascar,70%,2.75,15,16,2.0,-1.148561454131727,0,-1.3283442394342608,-0.41291870242530737
Singapore,2016,Ecuador,75%,3.5,7,16,2.0,-1.148561454131727,0,-1.3283442394342608,0.973354382784148
